Interactor (sys)	Interactor (std)	Function
YGR151C	YGR151C	unknown
YGR152C	RSR1	cell polarity/morphogenesis
YGR153W	YGR153W	unknown
YGR154C	GTO1	metabolism/mitochondria
YGR155W	CYS4	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YGR157W	CHO2	lipid/sterol/fatty acid biosynth
YGR161C	RTS3	signaling/stress response
YGR164W	YGR164W	unknown
YGR166W	KRE11	ER<->Golgi traffic
YGR167W	CLC1	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YGR169C	PUS6	metabolism/mitochondria;ribosome/translation
YGR170W	PSD2	lipid/sterol/fatty acid biosynth
YGR173W	RBG2	unknown
YGR174C	CBP4	metabolism/mitochondria
YGR176W	YGR176W	unknown
YGR177C	ATF2	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YGR178C	PBP1	unknown
YGR181W	TIM13	metabolism/mitochondria
YGR182C	YGR182C	metabolism/mitochondria
YGR183C	QCR9	metabolism/mitochondria
YGR184C	UBR1	unknown
YGR185C_tsq290	tys1-1	ribosome/translation
YGR187C	HGH1	ribosome/translation
YGR188C	BUB1	chromosome segregation/kinetochore/spindle/microtubule
YGR189C	CRH1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR192C	TDH3	protein folding/protein glycosylation/cell wall biogenesis&integrity;metabolism/mitochondria
YGR193C	PDX1	metabolism/mitochondria
YGR194C	XKS1	metabolism/mitochondria
YGR196C	FYV8	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR197C	SNG1	drug/ion transport
YGR199W	PMT6	drug/ion transport
YGR200C	ELP2	ribosome/translation
YGR201C	YGR201C	unknown
YGR202C	PCT1	lipid/sterol/fatty acid biosynth
YGR203W	YGR203W	unknown
YGR205W	YGR205W	unknown
YGR206W	MVB12	Golgi/endosome/vacuole/sorting
YGR207C	YGR207C	unknown
YGR208W	SER2	amino acid biosynth&transport/nitrogen utilization
YGR209C	TRX2	drug/ion transport;ER<->Golgi traffic;Golgi/endosome/vacuole/sorting;signaling/stress response
YGR210C	YGR210C	unknown
YGR212W	SLI1	unknown
YGR213C	RTA1	unknown
YGR214W	RPS0A	ribosome/translation
YGR216C_tsq548	gpi1-1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR217W	CCH1	drug/ion transport
YGR218W_damp	CRM1_damp	ribosome/translation;nuclear-cytoplasic transport;RNA processing
YGR221C	TOS2	cell polarity/morphogenesis
YGR224W	AZR1	drug/ion transport
YGR225W	AMA1	protein degradation/proteosome;chromosome segregation/kinetochore/spindle/microtubule
YGR226C	YGR226C	unknown
YGR227W	DIE2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR228W	YGR228W	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR229C	SMI1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR230W	BNS1	chromosome segregation/kinetochore/spindle/microtubule
YGR231C	PHB2	metabolism/mitochondria
YGR232W	NAS6	protein degradation/proteosome
YGR233C	PHO81	metabolism/mitochondria;signaling/stress response
YGR234W	YHB1	metabolism/mitochondria
YGR235C	YGR235C	unknown
YGR236C	SPG1	unknown
YGR237C	YGR237C	unknown
YGR238C	KEL2	chromosome segregation/kinetochore/spindle/microtubule
YGR241C	YAP1802	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YGR242W	YGR242W	unknown
YGR243W	FMP43	unknown
YGR244C	LSC2	metabolism/mitochondria
YGR245C_tsq523	sda1-2	cell polarity/morphogenesis;ribosome/translation
YGR247W	CPD1	metabolism/mitochondria;ribosome/translation
YGR248W	SOL4	metabolism/mitochondria
YGR249W	MGA1	unknown
YGR250C	YGR250C	unknown
YGR252W	GCN5	chromatin/transcription
YGR254W	ENO1	metabolism/mitochondria
YGR256W	GND2	metabolism/mitochondria
YGR259C	YGR259C	unknown
YGR260W	TNA1	drug/ion transport
YGR261C	APL6	Golgi/endosome/vacuole/sorting
YGR262C	BUD32	chromatin/transcription
YGR263C	SAY1	lipid/sterol/fatty acid biosynth
YGR266W	YGR266W	unknown
YGR268C	HUA1	cell polarity/morphogenesis
YGR269W	YGR269W	unknown
YGR270W	YTA7	chromatin/transcription
YGR271W	SLH1	ribosome/translation;RNA processing
YGR273C	IBI1	unknown
YGR274C_tsq524	taf1-1	chromatin/transcription
YGR275W	RTT102	chromatin/transcription
YGR276C	RNH70	ribosome/translation;RNA processing
YGR279C	SCW4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR281W	YOR1	drug/ion transport
YGR282C	BGL2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YGR283C	YGR283C	unknown
YGR284C	ERV29	ER<->Golgi traffic
YGR285C	ZUO1	unknown
YGR286C	BIO2	metabolism/mitochondria
YGR287C	YGR287C	unknown
YGR288W	MAL13	metabolism/mitochondria
YGR289C	MAL11	metabolism/mitochondria
YGR290W	YGR290W	metabolism/mitochondria
YGR291C	YGR291C	unknown
YGR292W	MAL12	metabolism/mitochondria
YGR294W	PAU12	unknown
YHL001W	RPL14B	ribosome/translation
YHL002W	HSE1	Golgi/endosome/vacuole/sorting
YHL006C	SHU1	DNA replication/repair/HR/cohesion
YHL008C	YHL008C	unknown
YHL009C	YAP3	signaling/stress response;chromatin/transcription
YHL010C	BRP2	unknown
YHL012W	YHL012W	unknown
YHL013C	OTU2	unknown
YHL014C	YLF2	unknown
YHL016C	DUR3	drug/ion transport
YHL017W	YHL017W	unknown
YHL019C	APM2	cell polarity/morphogenesis
YHL020C	OPI1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YHL021C	AIM17	unknown
YHL022C	SPO11	G1/S and G2/M cell cycle progression/meiosis
YHL023C	RMD11	unknown
YHL024W	RIM4	G1/S and G2/M cell cycle progression/meiosis
YHL025W	SNF6	chromatin/transcription
YHL026C	YHL026C	unknown
YHL028W	WSC4	ER<->Golgi traffic
YHL029C	OCA5	signaling/stress response
YHL030W	ECM29	protein degradation/proteosome
YHL032C	GUT1	metabolism/mitochondria
YHL033C	RPL8A	ribosome/translation
YHL034C	SBP1	ribosome/translation
YHL035C	VMR1	drug/ion transport
YHL036W	MUP3	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YHL037C	YHL037C	unknown
YHL039W	YHL039W	unknown
YHL040C	ARN1	drug/ion transport
YHL041W	YHL041W	unknown
YHL042W	YHL042W	unknown
YHL043W	ECM34	unknown
YHL044W	YHL044W	unknown
YHL045W	YHL045W	unknown
YHL046C	PAU13	unknown
YHL047C	ARN2	drug/ion transport
YHR001W-A	QCR10	metabolism/mitochondria
YHR003C	YHR003C	unknown
YHR004C	NEM1	G1/S and G2/M cell cycle progression/meiosis;lipid/sterol/fatty acid biosynth;signaling/stress response
YHR006W	STP2	chromatin/transcription
YHR007C_damp	ERG11_damp	lipid/sterol/fatty acid biosynth
YHR007C_tsq14	erg11-td	lipid/sterol/fatty acid biosynth
YHR008C	SOD2	metabolism/mitochondria
YHR009C	YHR009C	unknown
YHR012W	VPS29	Golgi/endosome/vacuole/sorting
YHR013C	ARD1	chromatin/transcription
YHR014W	SPO13	G1/S and G2/M cell cycle progression/meiosis
YHR015W	MIP6	nuclear-cytoplasic transport
YHR016C	YSC84	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YHR017W	YSC83	unknown
YHR019C_damp	DED81_damp	ribosome/translation;RNA processing
YHR020W_damp	YHR020W_damp	unknown
YHR021C	RPS27B	ribosome/translation
YHR021W-A	ECM12	unknown
YHR022C	YHR022C	unknown
YHR028C	DAP2	unknown
YHR029C	YHI9	unknown
YHR030C	SLT2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YHR031C	RRM3	DNA replication/repair/HR/cohesion
YHR032W	YHR032W	unknown
YHR033W	YHR033W	unknown
YHR034C	PIH1	ribosome/translation
YHR035W	YHR035W	unknown
YHR037W	PUT2	metabolism/mitochondria
YHR038W	RRF1	metabolism/mitochondria;ribosome/translation
YHR039C	MSC7	unknown
YHR039C-A	VMA10	Golgi/endosome/vacuole/sorting
YHR041C	SRB2	chromatin/transcription
YHR043C	DOG2	metabolism/mitochondria
YHR044C	DOG1	metabolism/mitochondria
YHR045W	YHR045W	unknown
YHR046C	INM1	metabolism/mitochondria
YHR047C	AAP1	metabolism/mitochondria
YHR048W	YHK8	drug/ion transport
YHR049C-A	YHR049C-A	unknown
YHR049W	FSH1	metabolism/mitochondria
YHR050W	SMF2	drug/ion transport
YHR051W	COX6	metabolism/mitochondria
YHR057C	CPR2	unknown
YHR059W	FYV4	unknown
YHR060W	VMA22	Golgi/endosome/vacuole/sorting
YHR061C	GIC1	cell polarity/morphogenesis
YHR064C	SSZ1	unknown
YHR066W	SSF1	ribosome/translation
YHR067W	HTD2	lipid/sterol/fatty acid biosynth
YHR068W_damp	DYS1_damp	metabolism/mitochondria;ribosome/translation
YHR073W	OSH3	lipid/sterol/fatty acid biosynth
YHR075C	PPE1	unknown
YHR076W	PTC7	signaling/stress response
YHR077C	NMD2	RNA processing
YHR078W	YHR078W	unknown
YHR079C	IRE1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YHR079C-B	YHR079C-B	unknown
YHR080C	YHR080C	unknown
YHR081W	LRP1	RNA processing
YHR082C	KSP1	cell polarity/morphogenesis;signaling/stress response
YHR083W_tsq493	sam35-2	metabolism/mitochondria
YHR086W	NAM8	RNA processing
YHR087W	RTC3	unknown
YHR088W_damp	RPF1_damp	ribosome/translation
YHR092C	HXT4	drug/ion transport;metabolism/mitochondria
YHR093W	AHT1	unknown
YHR094C	HXT1	drug/ion transport;metabolism/mitochondria
YHR095W	YHR095W	unknown
YHR096C	HXT5	drug/ion transport;metabolism/mitochondria
YHR097C	YHR097C	unknown
YHR103W	SBE22	Golgi/endosome/vacuole/sorting
YHR104W	GRE3	metabolism/mitochondria;lipid/sterol/fatty acid biosynth;signaling/stress response
YHR105W	YPT35	Golgi/endosome/vacuole/sorting
YHR106W	TRR2	metabolism/mitochondria
YHR107C_tsq33	cdc12-1	cell polarity/morphogenesis
YHR108W	GGA2	Golgi/endosome/vacuole/sorting
YHR109W	CTM1	metabolism/mitochondria
YHR110W	ERP5	ER<->Golgi traffic
YHR111W	UBA4	ribosome/translation
YHR112C	YHR112C	metabolism/mitochondria
YHR113W	YHR113W	unknown
YHR114W	BZZ1	cell polarity/morphogenesis
YHR116W	COX23	metabolism/mitochondria
YHR117W	TOM71	metabolism/mitochondria
YHR120W	MSH1	DNA replication/repair/HR/cohesion
YHR121W	LSM12	unknown
YHR123W	EPT1	lipid/sterol/fatty acid biosynth
YHR124W	NDT80	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YHR125W	YHR125W	unknown
YHR126C	ANS1	unknown
YHR127W	YHR127W	unknown
YHR129C	ARP1	chromosome segregation/kinetochore/spindle/microtubule
YHR130C	YHR130C	unknown
YHR131C	YHR131C	unknown
YHR132C	ECM14	unknown
YHR132W-A	IGO2	unknown
YHR133C	NSG1	lipid/sterol/fatty acid biosynth
YHR134W	WSS1	DNA replication/repair/HR/cohesion
YHR135C	YCK1	cell polarity/morphogenesis
YHR136C	SPL2	lipid/sterol/fatty acid biosynth
YHR137W	ARO9	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YHR138C	YHR138C	unknown
YHR139C	SPS100	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis
YHR139C-A	YHR139C-A	unknown
YHR140W	YHR140W	unknown
YHR142W	CHS7	cell polarity/morphogenesis
YHR143W	DSE2	unknown
YHR146W	CRP1	unknown
YHR150W	PEX28	metabolism/mitochondria
YHR151C	MTC6	unknown
YHR152W	SPO12	chromosome segregation/kinetochore/spindle/microtubule
YHR153C	SPO16	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YHR154W	RTT107	DNA replication/repair/HR/cohesion
YHR155W	YSP1	metabolism/mitochondria
YHR156C	LIN1	RNA processing
YHR157W	REC104	G1/S and G2/M cell cycle progression/meiosis
YHR158C	KEL1	chromosome segregation/kinetochore/spindle/microtubule
YHR159W	YHR159W	unknown
YHR161C	YAP1801	cell polarity/morphogenesis
YHR162W	YHR162W	unknown
YHR163W	SOL3	metabolism/mitochondria
YHR165C	PRP8	RNA processing
YHR166C_tsq89	cdc23-1	chromosome segregation/kinetochore/spindle/microtubule
YHR167W	THP2	nuclear-cytoplasic transport
YHR174W	ENO2	metabolism/mitochondria
YHR176W	FMO1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YHR178W	STB5	drug/ion transport
YHR179W	OYE2	unknown
YHR180W	YHR180W	unknown
YHR181W	SVP26	ER<->Golgi traffic
YHR182W	YHR182W	unknown
YHR184W	SSP1	G1/S and G2/M cell cycle progression/meiosis
YHR185C	PFS1	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YHR187W	IKI1	ribosome/translation
YHR188C_damp	GPI16_damp	protein folding/protein glycosylation/cell wall biogenesis&integrity
YHR189W	PTH1	ribosome/translation
YHR191C	CTF8	DNA replication/repair/HR/cohesion
YHR193C	EGD2	unknown
YHR194W	MDM31	metabolism/mitochondria
YHR195W	NVJ1	unknown
YHR198C	AIM18	unknown
YHR199C	AIM46	unknown
YHR200W	RPN10	protein degradation/proteosome
YHR202W	YHR202W	unknown
YHR203C	RPS4B	ribosome/translation
YHR204W	MNL1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YHR206W	SKN7	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YHR207C	SET5	unknown
YHR208W	BAT1	amino acid biosynth&transport/nitrogen utilization
YHR209W	CRG1	unknown
YHR210C	YHR210C	unknown
YHR215W	PHO12	metabolism/mitochondria
YIL001W	YIL001W	unknown
YIL002C	INP51	cell polarity/morphogenesis;ER<->Golgi traffic;Golgi/endosome/vacuole/sorting;lipid/sterol/fatty acid biosynth;signaling/stress response
YIL005W	EPS1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YIL006W	YIA6	metabolism/mitochondria
YIL007C	NAS2	protein degradation/proteosome
YIL008W	URM1	ribosome/translation
YIL009C-A	EST3	DNA replication/repair/HR/cohesion
YIL010W	DOT5	signaling/stress response;chromatin/transcription
YIL011W	TIR3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YIL012W	YIL012W	unknown
YIL013C	PDR11	drug/ion transport
YIL014W	MNT3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YIL015C-A	YIL015C-A	unknown
YIL015W	BAR1	protein degradation/proteosome
YIL016W	SNL1	nuclear-cytoplasic transport
YIL017C	VID28	metabolism/mitochondria
YIL018W	RPL2B	ribosome/translation
YIL023C	YKE4	drug/ion transport
YIL024C	YIL024C	unknown
YIL025C	YIL025C	unknown
YIL028W	YIL028W	unknown
YIL029C	YIL029C	unknown
YIL030C	SSM4	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YIL032C	YIL032C	unknown
YIL033C	BCY1	signaling/stress response
YIL034C	CAP2	cell polarity/morphogenesis
YIL035C	CKA1	signaling/stress response
YIL036W	CST6	chromatin/transcription
YIL037C	PRM2	unknown
YIL038C	NOT3	chromatin/transcription;RNA processing
YIL040W	APQ12	drug/ion transport
YIL041W	GVP36	Golgi/endosome/vacuole/sorting
YIL042C	PKP1	metabolism/mitochondria;DNA replication/repair/HR/cohesion
YIL043C	CBR1	metabolism/mitochondria
YIL044C	AGE2	ER<->Golgi traffic
YIL045W	PIG2	metabolism/mitochondria;signaling/stress response
YIL046W_tsq939	met30-9	G1/S and G2/M cell cycle progression/meiosis;protein degradation/proteosome;amino acid biosynth&transport/nitrogen utilization
YIL047C	SYG1	unknown
YIL048W_tsq188	neo1-2	lipid/sterol/fatty acid biosynth
YIL050W	PCL7	unknown
YIL051C_damp	MMF1_damp	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YIL052C	RPL34B	ribosome/translation
YIL053W	RHR2	metabolism/mitochondria
YIL054W	YIL054W	unknown
YIL055C	YIL055C	unknown
YIL056W	VHR1	metabolism/mitochondria;chromatin/transcription
YIL057C	RGI2	unknown
YIL058W	YIL058W	unknown
YIL059C	YIL059C	unknown
YIL062C_tsq888	arc15-10	cell polarity/morphogenesis
YIL064W	SEE1	unknown
YIL065C	FIS1	chromosome segregation/kinetochore/spindle/microtubule
YIL066C	RNR3	DNA replication/repair/HR/cohesion
YIL067C	YIL067C	unknown
YIL069C	RPS24B	ribosome/translation
YIL071C	PCI8	protein degradation/proteosome
YIL072W	HOP1	G1/S and G2/M cell cycle progression/meiosis
YIL073C	SPO22	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YIL074C	SER33	amino acid biosynth&transport/nitrogen utilization
YIL076W	SEC28	ER<->Golgi traffic
YIL077C	YIL077C	unknown
YIL078W_damp	THS1_damp	ribosome/translation
YIL079C	AIR1	ribosome/translation;RNA processing
YIL083C_damp	YIL083C_damp	metabolism/mitochondria
YIL084C	SDS3	chromatin/transcription
YIL085C	KTR7	protein folding/protein glycosylation/cell wall biogenesis&integrity
YIL086C	YIL086C	unknown
YIL087C	LRC2	unknown
YIL088C	AVT7	amino acid biosynth&transport/nitrogen utilization
YIL089W	YIL089W	unknown
YIL090W	ICE2	unknown
YIL092W	YIL092W	unknown
YIL095W	PRK1	cell polarity/morphogenesis
YIL096C	YIL096C	ribosome/translation;RNA processing
YIL097W	FYV10	metabolism/mitochondria
YIL098C	FMC1	drug/ion transport;metabolism/mitochondria
YIL099W	SGA1	protein folding/protein glycosylation/cell wall biogenesis&integrity;metabolism/mitochondria;G1/S and G2/M cell cycle progression/meiosis
YIL100W	YIL100W	unknown
YIL101C	XBP1	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;chromatin/transcription
YIL102C	YIL102C	unknown
YIL103W	DPH1	metabolism/mitochondria;ribosome/translation
YIL105C	SLM1	cell polarity/morphogenesis;signaling/stress response
YIL106W_damp	MOB1_damp	chromosome segregation/kinetochore/spindle/microtubule
YIL107C	PFK26	metabolism/mitochondria
YIL108W	YIL108W	unknown
YIL110W	MNI1	unknown
YIL111W	COX5B	metabolism/mitochondria
YIL112W	HOS4	chromatin/transcription
YIL113W	SDP1	protein folding/protein glycosylation/cell wall biogenesis&integrity;signaling/stress response
YIL114C	POR2	drug/ion transport;metabolism/mitochondria
YIL117C	PRM5	unknown
YIL119C	RPI1	signaling/stress response;chromatin/transcription
YIL120W	QDR1	drug/ion transport
YIL121W	QDR2	drug/ion transport
YIL122W	POG1	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YIL123W	SIM1	unknown
YIL124W	AYR1	metabolism/mitochondria
YIL130W	ASG1	unknown
YIL131C	FKH1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YIL132C	CSM2	DNA replication/repair/HR/cohesion
YIL133C	RPL16A	ribosome/translation
YIL134W	FLX1	metabolism/mitochondria
YIL135C	VHS2	unknown
YIL136W	OM45	metabolism/mitochondria
YIL137C	TMA108	unknown
YIL138C	TPM2	cell polarity/morphogenesis
YIL139C	REV7	DNA replication/repair/HR/cohesion
YIL140W	AXL2	cell polarity/morphogenesis
YIL141W	YIL141W	cell polarity/morphogenesis
YIL145C	PAN6	metabolism/mitochondria
YIL146C	ECM37	unknown
YIL149C	MLP2	RNA processing
YIL150C_tsq110	mcm10-1	DNA replication/repair/HR/cohesion
YIL151C	ESL1	unknown
YIL152W	YIL152W	unknown
YIL153W	RRD1	unknown
YIL154C	IMP2'	drug/ion transport
YIL155C	GUT2	metabolism/mitochondria
YIL156W	UBP7	unknown
YIL158W	AIM20	unknown
YIL159W	BNR1	chromosome segregation/kinetochore/spindle/microtubule
YIL160C	POT1	lipid/sterol/fatty acid biosynth
YIL161W	YIL161W	unknown
YIL162W	SUC2	metabolism/mitochondria
YIL163C	YIL163C	unknown
YIL164C	NIT1	unknown
YIL165C	YIL165C	unknown
YIL166C	YIL166C	unknown
YIL167W	SDL1	unknown
YIL168W	YIL168W	amino acid biosynth&transport/nitrogen utilization
YIL170W	HXT12	drug/ion transport;metabolism/mitochondria
YIL173W	VTH1	Golgi/endosome/vacuole/sorting
YIR001C	SGN1	ribosome/translation;RNA processing
YIR002C	MPH1	DNA replication/repair/HR/cohesion
YIR003W	AIM21	unknown
YIR005W	IST3	RNA processing
YIR007W	YIR007W	unknown
YIR010W_tsq435	dsn1-7	chromosome segregation/kinetochore/spindle/microtubule
YIR010W_tsq436	dsn1-8	chromosome segregation/kinetochore/spindle/microtubule
YIR013C	GAT4	chromatin/transcription
YIR014W	YIR014W	unknown
YIR016W	YIR016W	unknown
YIR017C	MET28	metabolism/mitochondria
YIR018W	YAP5	signaling/stress response;chromatin/transcription
YIR019C	MUC1	cell polarity/morphogenesis;signaling/stress response
YIR020C	YIR020C	unknown
YIR020W-B	YIR020W-B	unknown
YIR022W_tsq318	sec11-2	ER<->Golgi traffic
YIR023W	DAL81	amino acid biosynth&transport/nitrogen utilization
YIR024C	YIR024C	unknown
YIR025W	MND2	chromosome segregation/kinetochore/spindle/microtubule
YIR027C	DAL1	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YIR028W	DAL4	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YIR029W	DAL2	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YIR030C	DCG1	unknown
YIR031C	DAL7	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YIR032C	DAL3	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YIR033W	MGA2	lipid/sterol/fatty acid biosynth
YIR035C	YIR035C	unknown
YIR036C	IRC24	DNA replication/repair/HR/cohesion
YIR037W	HYR1	signaling/stress response
YIR038C	GTT1	metabolism/mitochondria
YIR039C	YPS6	unknown
YIR041W	PAU15	unknown
YIR042C	YIR042C	unknown
YIR043C	YIR043C	unknown
YJL002C_tsq735	ost1-6	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL004C	SYS1	Golgi/endosome/vacuole/sorting
YJL007C	YJL007C	unknown
YJL012C	VTC4	Golgi/endosome/vacuole/sorting
YJL013C	MAD3	chromosome segregation/kinetochore/spindle/microtubule
